"stop_id,C,254","stop_name,C,254","stop_lat,N,24,15","stop_lon,N,24,15","location_t,N,10,0","parent_sta,C,254","trip_count,N,2,0","trip_ids,C,251","route_ids,C,254","route_nams,C,109",subcounty,distance_from_cbd_km
0711IGM,Kangemi Road,-1.275256991,36.73333526,0,,1,7046P110,70805046P10,046P,Dagoretti,9.307480830893725
0700KIM,Kangemi Road,-1.274742848,36.73337817,0,,1,70103110,70000010311,103,Dagoretti,9.308424438598658
0701DUA,Sudanese,-1.274939775,36.73334599,0,,1,70103111,70000010311,103,Dagoretti,9.309762723670005
0701KRC,Kenya Redeemed Church Riruta,-1.291077,36.733127,0,,1,7004W111,70500004W11,4W,Dagoretti,9.327078429120723
0701GDB,Gachangi/Darajani/Baptist Church,-1.273201704,36.73247695,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,9.42702459183209
0701SJO,St. John Othordox Church,-1.290811,36.73214,0,,1,7004W111,70500004W11,4W,Dagoretti,9.433682965167103
0700ABB,Abba Photo Studio/Kaberia,-1.290783,36.732013,0,,1,7004W110,70500004W11,4W,Dagoretti,9.447472673850616
0710RFO,Forest,-1.272752649,36.73200488,0,,1,70103110,70000010311,103,Dagoretti,9.485192435709855
0711REO,Forest,-1.273185611,36.73184931,0,,1,7046P110,70805046P10,046P,Dagoretti,9.496513983329475
0700DIN,Kinduri,-1.272629267,36.7314899,0,,1,70103110,70000010311,103,Dagoretti,9.543703168888579
0703MHR,Muhia Road,-1.290511,36.730253,0,,2,7004W110 7004W111,70500004W11 70500004W11,4W 4W,Dagoretti,9.6398355609876
0711KNG,Kwa Ng'ang'a,-1.284074,36.729192,0,,2,70002111 70102111,70601000211 70600010211,2 102,Dagoretti,9.725020392488505
0710GKI,Gathondeki,-1.2717,36.729698,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,9.754543349447752
0711DKI,Gathodeki,-1.272354126,36.7295748,0,,1,7046P110,70805046P10,046P,Dagoretti,9.758754109726883
0710KWN,Kwa Ng'ang'a,-1.284009,36.728874,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,9.76031176823962
0711GTD,Gathondeki,-1.271844506,36.72960162,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,9.763047980127384
0711SEK,Summer-Rock,-1.271866679,36.72945142,0,,1,7046P110,70805046P10,046P,Dagoretti,9.779280360655646
0700CKK,Kaberia,-1.290562,36.728944,0,,2,7004W110 7004W111,70500004W11 70500004W11,4W 4W,Dagoretti,9.785324668422447
0700SMK,Summer-Rock,-1.270807,36.728575,0,,2,70003110 70103110,70000000311 70000010311,3U/3 103,Dagoretti,9.891786939434807
0701SMR,Summer-Rock,-1.270712614,36.72827661,0,,2,70003111 70103111,70000000311 70000010311,3U/3 103,Dagoretti,9.926107102457838
0700BMY,Beth Mugo Secondary School/Car Wash,-1.283399,36.727117,0,,2,70002110 70102110,70601000211 70600010211,2 102,Dagoretti,9.955344340860549
0701BMK,Beth Mugo High School,-1.283395,36.726863,0,,2,70002111 70102111,70601000211 70600010211,2 102,Dagoretti,9.983580434997716
0700AOW,Kwa Mtaro,-1.26928187,36.72628105,0,,1,70103110,70000010311,103,Dagoretti,10.168992630687585
0711WAK,Kwa Mtaro,-1.269077182,36.72606111,0,,1,7046P110,70805046P10,046P,Dagoretti,10.196666440925611
0711MAT,Muthama,-1.282482147,36.72394753,0,,1,70102111,70600010211,102,Dagoretti,10.30811494295744
0711MTE,Mithonge,-1.282224,36.723135,0,,2,70002111 70102111,70601000211 70600010211,2 102,Dagoretti,10.398738152716517
